trial,tank,A,B,choice
316,4,S,L,L
317,5,B,M,M
318,6,S,L,S
319,1,M,B,B
320,2,L,S,S
321,3,M,B,NA
322,4,L,S,L
323,5,M,B,NA
324,6,L,S,S
325,1,L,M,M
326,2,B,S,NA
327,3,L,M,L
328,4,B,S,NA
329,5,L,M,L
330,6,B,S,B
331,1,M,L,L
332,2,S,B,S
333,3,M,L,L
334,4,S,B,S
335,5,M,L,L
336,6,S,B,S
337,1,S,M,M
338,2,B,L,L
339,3,S,M,S
340,4,B,L,L
341,5,S,M,S
342,6,B,L,L
343,1,M,S,M
344,2,L,B,B
345,3,M,S,NA
346,4,L,B,L
347,5,M,S,M
348,6,L,B,B
349,1,S,L,L
350,2,B,M,M
351,3,S,L,L
352,4,B,M,M
353,5,S,L,S
354,6,B,M,B
355,1,L,S,S
356,2,M,B,M
357,3,L,S,L
358,4,M,B,M
359,5,L,S,S
360,6,M,B,M
