trial,tank,A,B,choice
64,1,M,J,J
64,2,B,A,B
64,3,M,J,J
64,4,B,A,A
64,5,M,J,M
64,6,B,A,A
65,1,J,B,J
65,2,A,M,M
65,3,J,B,B
65,4,A,M,A
65,5,J,B,J
65,6,A,M,M
66,1,B,J,J
66,2,M,A,M
66,3,B,J,B
66,4,M,A,NA
66,5,B,J,B
66,6,M,A,A
67,1,A,J,A
67,2,B,M,M
67,3,A,J,J
67,4,B,M,M
67,5,A,J,A
67,6,B,M,B
68,1,J,A,J
68,2,M,B,M
68,3,J,A,A
68,4,M,B,M
68,5,J,A,A
68,6,M,B,M
69,1,A,B,B
69,2,J,M,M
69,3,A,B,B
69,4,J,M,J
69,5,A,B,B
69,6,J,M,M
70,1,B,A,A
70,2,M,J,M
70,3,B,A,B
70,4,M,J,J
70,5,B,A,B
70,6,M,J,J
71,1,A,M,A
71,2,J,B,B
71,3,A,M,A
71,4,J,B,NA
71,5,A,M,A
71,6,J,B,B
72,1,M,A,A
72,2,B,J,B
72,3,M,A,A
72,4,B,J,B
72,5,M,A,NA
72,6,B,J,J
73,1,B,M,M
73,2,A,J,NA
73,3,B,M,B
73,4,A,J,A
73,5,B,M,B
73,6,A,J,J
74,1,M,B,NA
74,2,J,A,A
74,3,M,B,B
74,4,J,A,NA
74,5,M,B,B
74,6,J,A,NA
75,1,J,M,M
75,2,A,B,A
75,3,J,M,M
75,4,A,B,B
75,5,J,M,M
75,6,A,B,B
76,1,M,J,J
76,2,B,A,B
76,3,M,J,M
76,4,B,A,A
76,5,M,J,M
76,6,B,A,A
77,1,J,B,J
77,2,A,M,M
77,3,J,B,J
77,4,A,M,A
77,5,J,B,B
77,6,A,M,A
78,1,B,J,J
78,2,M,A,M
78,3,B,J,B
78,4,M,A,M
78,5,B,J,J
78,6,M,A,M
